Time (min),Abs
6.769062519,-0.88918668
6.76927042,-0.889142096
6.769479275,-0.88988018
6.769687653,-0.889322996
6.769895554,-0.889346421
6.770103931,-0.889848948
6.770312309,-0.888622642
6.770520687,-0.888801873
6.770729065,-0.888957381
6.770937443,-0.88923949
6.771145821,-0.889773607
6.771353722,-0.88852936
6.771562576,-0.889802933
6.771770954,-0.888607204
6.771978855,-0.889352739
6.77218771,-0.889909625
6.772395611,-0.889986336
6.772603989,-0.889050961
6.772812366,-0.8895877
6.773020744,-0.890583515
6.773229122,-0.888816893
6.773437023,-0.889320791
6.773645878,-0.88954246
6.773854256,-0.890223801
6.774062157,-0.889919102
6.774271011,-0.889731169
6.774478912,-0.890411913
6.77468729,-0.889371753
6.774896145,-0.88944
6.775104046,-0.888908148
6.775312424,-0.888999045
6.775520325,-0.888227761
6.775729179,-0.890460312
6.775937557,-0.88969177
6.776145458,-0.889678001
6.776354313,-0.888217568
6.776562214,-0.886743665
6.776770592,-0.889310181
6.776979446,-0.890215457
6.777187347,-0.889110148
6.777395725,-0.889184415
6.777603626,-0.88839072
6.777812481,-0.887091756
6.778020859,-0.890303671
6.77822876,-0.887858212
6.778437614,-0.888462544
6.778645515,-0.885676086
6.778853893,-0.887005746
6.779062748,-0.887144506
6.779270649,-0.889656127
6.779479027,-0.889706969
6.779687405,-0.889300585
6.779895782,-0.889975667
6.78010416,-0.889933944
6.780312061,-0.890602112
6.780520916,-0.889331162
6.780728817,-0.889574409
6.780937195,-0.890231073
6.781146049,-0.889815986
6.781353951,-0.889652312
6.781562328,-0.888812304
6.781770706,-0.890306294
6.781979084,-0.89012897
6.782187462,-0.890507937
6.78239584,-0.889037073
6.782604218,-0.890012443
6.782812119,-0.890670598
6.783020496,-0.889343202
6.783229351,-0.889491618
6.783437252,-0.88932097
6.78364563,-0.88902384
6.783854008,-0.889462352
6.784062386,-0.887578428
6.784270763,-0.890268207
6.784479141,-0.888571978
6.784687519,-0.888807952
6.78489542,-0.889495552
6.785104275,-0.88750118
6.785312653,-0.888996244
6.785520554,-0.890564084
6.785728931,-0.889145434
6.785937309,-0.890175819
6.786145687,-0.889876366
6.786354065,-0.887264252
6.786562443,-0.889628768
6.786770821,-0.890178382
6.786978722,-0.885669351
6.787187576,-0.888644576
6.787395954,-0.889268994
6.787603855,-0.890181303
6.78781271,-0.889717162
6.788020611,-0.889095724
6.788228989,-0.890744209
6.788437366,-0.887158632
6.788645744,-0.890477061
6.788854122,-0.886391282
6.789062023,-0.890282095
6.789270878,-0.88884002
6.789479256,-0.887385726
6.789687157,-0.889591873
6.789896011,-0.890334427
6.790103912,-0.889162839
6.79031229,-0.888545513
6.790521145,-0.890665352
6.790729046,-0.889031768
6.790937424,-0.889112115
6.791145325,-0.888698816
6.791354179,-0.888549626
6.791562557,-0.890208781
6.791770458,-0.889009595
6.791979313,-0.889859557
6.792187214,-0.88951081
6.792395592,-0.889122903
6.792604446,-0.889573753
6.792812347,-0.889301002
6.793020725,-0.889427126
6.793228626,-0.889962494
6.793437481,-0.888642907
6.793645859,-0.889180183
6.79385376,-0.890493751
6.794062614,-0.889342129
6.794270515,-0.889555752
6.794478893,-0.890716374
6.794687748,-0.887022197
6.794895649,-0.888127685
6.795104027,-0.890385151
6.795312405,-0.88954711
6.795520782,-0.88969475
6.79572916,-0.889427662
6.795937061,-0.889488339
6.796145916,-0.889140844
6.796353817,-0.888713479
6.796562195,-0.889813244
6.796771049,-0.890361488
6.796978951,-0.889243901
6.797187328,-0.890617132
6.797395706,-0.889609158
6.797604084,-0.888788223
6.797812462,-0.889445126
6.79802084,-0.890040696
6.798229218,-0.889886737
6.798437119,-0.889133394
6.798645496,-0.889755189
6.798854351,-0.889136612
6.799062252,-0.889677942
6.79927063,-0.889445782
6.799479008,-0.889370203
6.799687386,-0.889206529
6.799895763,-0.888708115
6.800104141,-0.889324307
6.800312519,-0.886739552
6.80052042,-0.890092075
6.800729275,-0.889257312
6.800937653,-0.889677942
6.801145554,-0.889856935
6.801353931,-0.886804223
6.801562309,-0.88723439
6.801770687,-0.890055418
6.801979065,-0.889857709
6.802187443,-0.889996409
6.802395821,-0.88917464
6.802603722,-0.887121737
6.802812576,-0.891077638
6.803020954,-0.88959831
6.803228855,-0.88959837
6.80343771,-0.890312493
6.803645611,-0.889884412
6.803853989,-0.888595283
6.804062366,-0.889075398
6.804270744,-0.889515042
6.804479122,-0.889774442
6.804687023,-0.889053285
6.804895878,-0.889850795
6.805104256,-0.889326572
6.805312157,-0.890273929
6.805521011,-0.890373528
6.805728912,-0.890095711
6.80593729,-0.889302969
6.806146145,-0.889559507
6.806354046,-0.888367951
6.806562424,-0.88814944
6.806770325,-0.889360249
6.806979179,-0.890067637
6.807187557,-0.889792383
6.807395458,-0.889198065
6.807604313,-0.889095485
6.807812214,-0.890286267
6.808020592,-0.889463067
6.808229446,-0.888975143
6.808437347,-0.889091194
6.808645725,-0.8901546
6.808853626,-0.889245987
6.809062481,-0.887177885
6.809270859,-0.887293994
6.80947876,-0.890140295
6.809687614,-0.890285015
6.809895515,-0.889651835
6.810103893,-0.889784396
6.810312748,-0.889980733
6.810520649,-0.887317121
6.810729027,-0.889645398
6.810937405,-0.889981687
6.811145782,-0.889755189
6.81135416,-0.889079213
6.811562061,-0.889284611
6.811770916,-0.886332989
6.811978817,-0.889367819
6.812187195,-0.889937699
6.812396049,-0.889573574
6.812603951,-0.88972342
6.812812328,-0.889778912
6.813020706,-0.889632106
6.813229084,-0.889015973
6.813437462,-0.889464736
6.81364584,-0.888867557
6.813854218,-0.888426185
6.814062119,-0.889197767
6.814270496,-0.88924998
6.814479351,-0.889451206
6.814687252,-0.889497459
6.81489563,-0.888944566
6.815104008,-0.889903843
6.815312386,-0.887856484
6.815520763,-0.889379263
6.815729141,-0.889573813
6.815937519,-0.890269756
6.81614542,-0.886872292
6.816354275,-0.889354885
6.816562653,-0.889559209
6.816770554,-0.888137758
6.816978931,-0.887092769
6.817187309,-0.889055967
6.817395687,-0.890314519
6.817604065,-0.889293253
6.817812443,-0.889436543
6.818020821,-0.889442205
6.818228722,-0.889385641
6.818437576,-0.888891518
6.818645954,-0.890188813
6.818853855,-0.886923671
6.81906271,-0.889850974
6.819270611,-0.889670014
6.819478989,-0.88984251
6.819687366,-0.887599528
6.819895744,-0.887726009
6.820104122,-0.88993305
6.820312023,-0.890377462
6.820520878,-0.890291452
6.820729256,-0.889138699
6.820937157,-0.889097214
6.821146011,-0.888969421
6.821353912,-0.888770282
6.82156229,-0.888720453
6.821771145,-0.890055776
6.821979046,-0.88973242
6.822187424,-0.888547659
6.822395325,-0.890253007
6.822604179,-0.888792515
6.822812557,-0.889362574
6.823020458,-0.890367031
6.823229313,-0.889371574
6.823437214,-0.889875472
6.823645592,-0.889592588
6.823854446,-0.889356613
6.824062347,-0.890277743
6.824270725,-0.889581978
6.824478626,-0.889350772
6.824687481,-0.888306379
6.824895859,-0.888025701
6.82510376,-0.887442708
6.825312614,-0.890092552
6.825520515,-0.890266299
6.825728893,-0.889093101
6.825937748,-0.888911009
6.826145649,-0.885998309
6.826354027,-0.887526751
6.826562405,-0.88896513
6.826770782,-0.889668167
6.82697916,-0.890111387
6.827187061,-0.888418853
6.827395916,-0.888917029
6.827603817,-0.889195323
6.827812195,-0.889920354
6.828021049,-0.889271259
6.828228951,-0.890295684
6.828437328,-0.890023112
6.828645706,-0.889772117
6.828854084,-0.889715016
6.829062462,-0.890629649
